Emoji;Unicode codepoint;Negative;Neutral;Positive;Sentiment Score;unicode name
🚋;0x1f68b;0;11;1;1;tram car
💳;0x1f4b3;1;4;7;6;credit card
🌆;0x1f306;2;6;4;2;cityscape at dusk
🏧;0x1f3e7;0;0;12;12;automated teller machine
💡;0x1f4a1;0;3;9;9;electric light bulb
🔹;0x1f539;2;6;4;2;small blue diamond
⬅;0x2b05;0;5;7;7;leftwards black arrow
🍠;0x1f360;5;2;5;0;roasted sweet potato
🐫;0x1f42b;0;7;5;5;bactrian camel
🏪;0x1f3ea;2;7;3;1;convenience store
۩;0x6e9;0;12;0;0;arabic place of sajdah
🇱;0x1f1f1;0;6;6;6;regional indicator symbol letter l
📹;0x1f4f9;1;3;7;6;video camera
👞;0x1f45e;1;3;7;6;mans shoe
🚑;0x1f691;3;4;4;1;ambulance
🆘;0x1f198;4;2;5;1;squared sos
👚;0x1f45a;0;3;8;8;womans clothes
🚍;0x1f68d;4;2;5;1;oncoming bus
□;0x25a1;7;0;4;-3;white square
🐂;0x1f402;1;7;3;2;ox
🚣;0x1f6a3;0;3;8;8;rowboat
✳;0x2733;0;11;0;0;eight spoked asterisk
🏉;0x1f3c9;0;4;7;7;rugby football
🗻;0x1f5fb;0;3;8;8;mount fuji
🐀;0x1f400;1;7;3;2;rat
╦;0x2566;0;6;5;5;box drawings double down and horizontal
⛺;0x26fa;1;2;7;6;tent
🐕;0x1f415;1;5;4;3;dog
🏂;0x1f3c2;1;3;6;5;snowboarder
👡;0x1f461;1;3;6;5;womans sandal
📻;0x1f4fb;1;4;5;4;radio
✒;0x2712;1;5;4;3;black nib
🌰;0x1f330;0;3;7;7;chestnut
🏢;0x1f3e2;0;8;2;2;office building
🎒;0x1f392;1;2;7;6;school satchel
⌒;0x2312;0;3;7;7;arc
🏫;0x1f3eb;6;1;3;-3;school
📴;0x1f4f4;1;0;9;8;mobile phone off
🚢;0x1f6a2;3;1;6;3;ship
🚚;0x1f69a;2;7;1;-1;delivery truck
🐉;0x1f409;0;8;2;2;dragon
❒;0x2752;0;7;3;3;upper right shadowed white square
🐊;0x1f40a;2;5;3;1;crocodile
🔔;0x1f514;0;0;10;10;bell
◢;0x25e2;0;2;8;8;black lower right triangle
🏥;0x1f3e5;1;4;4;3;hospital
❔;0x2754;3;3;3;0;white question mark ornament
🚖;0x1f696;3;4;2;-1;oncoming taxi
🃏;0x1f0cf;3;2;4;1;playing card black joker
▼;0x25bc;2;4;3;1;black down-pointing triangle
▌;0x258c;4;4;1;-3;left half block
☛;0x261b;0;5;4;4;black right pointing index
✩;0x2729;0;9;0;0;stress outlined white star
💒;0x1f492;0;3;6;6;wedding
🚤;0x1f6a4;0;5;4;4;speedboat
🐐;0x1f410;0;4;5;5;goat
■;0x25a0;5;2;2;-3;black square
🔚;0x1f51a;1;3;5;4;end with leftwards arrow above
🎻;0x1f3bb;0;5;4;4;violin
🔷;0x1f537;0;7;2;2;large blue diamond
🚦;0x1f6a6;2;4;3;1;vertical traffic light
🔓;0x1f513;3;2;4;1;open lock
🎽;0x1f3bd;0;4;5;5;running shirt with sash
📅;0x1f4c5;2;3;4;2;calendar
🎺;0x1f3ba;1;0;8;7;trumpet
✯;0x272f;0;9;0;0;pinwheel star
🍈;0x1f348;6;1;2;-4;melon
✉;0x2709;1;4;4;3;envelope
╣;0x2563;0;9;0;0;box drawings double vertical and left
◤;0x25e4;0;0;9;9;black upper left triangle
○;0x25cb;0;3;5;5;white circle
🍼;0x1f37c;1;1;6;5;baby bottle
📀;0x1f4c0;1;5;2;1;dvd
🚛;0x1f69b;2;6;0;-2;articulated lorry
📓;0x1f4d3;1;4;3;2;notebook
☉;0x2609;0;6;2;2;sun
💴;0x1f4b4;3;4;1;-2;banknote with yen sign
┼;0x253c;2;4;2;0;box drawings light vertical and horizontal
🐃;0x1f403;0;8;0;0;water buffalo
➰;0x27b0;4;1;3;-1;curly loop
🔌;0x1f50c;3;3;2;-1;electric plug
🍄;0x1f344;2;4;2;0;mushroom
📕;0x1f4d5;1;4;3;2;closed book
📣;0x1f4e3;1;2;5;4;cheering megaphone
🚓;0x1f693;0;5;3;3;police car
🐗;0x1f417;0;3;5;5;boar
↪;0x21aa;0;7;1;1;rightwards arrow with hook
⛳;0x26f3;0;1;7;7;flag in hole
┻;0x253b;6;0;2;-4;box drawings heavy up and horizontal
┛;0x251b;0;2;6;6;box drawings heavy up and left
┃;0x2503;0;4;4;4;box drawings heavy vertical
👱;0x1f471;1;4;2;1;person with blond hair
⏳;0x23f3;3;1;3;0;hourglass with flowing sand
💺;0x1f4ba;1;3;3;2;seat
🏇;0x1f3c7;3;2;2;-1;horse racing
☻;0x263b;1;3;3;2;black smiling face
📞;0x1f4de;0;3;4;4;telephone receiver
Ⓐ;0x24b6;2;4;1;-1;circled latin capital letter a
🌉;0x1f309;0;2;5;5;bridge at night
🚩;0x1f6a9;3;3;1;-2;triangular flag on post
✎;0x270e;0;2;5;5;lower right pencil
📃;0x1f4c3;0;3;4;4;page with curl
🏨;0x1f3e8;0;5;2;2;hotel
📌;0x1f4cc;5;1;1;-4;pushpin
♎;0x264e;2;4;1;-1;libra
💷;0x1f4b7;0;3;4;4;banknote with pound sign
🚄;0x1f684;0;2;5;5;high-speed train
▲;0x25b2;0;2;5;5;black up-pointing triangle
⛵;0x26f5;0;2;5;5;sailboat
🔸;0x1f538;0;5;2;2;small orange diamond
⌛;0x231b;2;2;3;1;hourglass
🚜;0x1f69c;0;0;7;7;tractor
🐆;0x1f406;0;4;3;3;leopard
👒;0x1f452;1;3;3;2;womans hat
❕;0x2755;1;3;3;2;white exclamation mark ornament
🔛;0x1f51b;1;1;5;4;on with exclamation mark with left right arrow above
♢;0x2662;0;4;3;3;white diamond suit
🇲;0x1f1f2;0;3;4;4;regional indicator symbol letter m
❅;0x2745;0;1;6;6;tight trifoliate snowflake
👝;0x1f45d;1;1;4;3;pouch
✞;0x271e;0;3;3;3;shadowed white latin cross
◡;0x25e1;0;4;2;2;lower half circle
🎋;0x1f38b;1;0;5;4;tanabata tree
👥;0x1f465;1;2;3;2;busts in silhouette
📵;0x1f4f5;1;3;2;1;no mobile phones
🐡;0x1f421;0;4;2;2;blowfish
◆;0x25c6;0;1;5;5;black diamond
🏯;0x1f3ef;0;5;1;1;japanese castle
☂;0x2602;1;4;1;0;umbrella
🔭;0x1f52d;0;3;3;3;telescope
🎪;0x1f3aa;0;4;2;2;circus tent
🐜;0x1f41c;0;2;4;4;ant
♌;0x264c;0;1;5;5;leo
☐;0x2610;6;0;0;-6;ballot box
👷;0x1f477;1;2;3;2;construction worker
↳;0x21b3;0;6;0;0;downwards arrow with tip rightwards
🔈;0x1f508;0;4;2;2;speaker
📄;0x1f4c4;0;0;6;6;page facing up
📍;0x1f4cd;1;3;2;1;round pushpin
🚐;0x1f690;0;1;5;5;minibus
🚔;0x1f694;1;4;1;0;oncoming police car
🌋;0x1f30b;0;2;4;4;volcano
📡;0x1f4e1;1;2;3;2;satellite antenna
⏩;0x23e9;0;5;1;1;black right-pointing double triangle
🚳;0x1f6b3;0;0;6;6;no bicycles
✘;0x2718;0;1;5;5;heavy ballot x
۞;0x6de;0;6;0;0;arabic start of rub el hizb
☾;0x263e;0;6;0;0;last quarter moon
🅰;0x1f170;1;2;3;2;negative squared latin capital letter a
📥;0x1f4e5;0;6;0;0;inbox tray
🇼;0x1f1fc;0;3;3;3;regional indicator symbol letter w
┓;0x2513;0;2;4;4;box drawings heavy down and left
┣;0x2523;0;2;4;4;box drawings heavy vertical and right
Ⓛ;0x24c1;0;3;3;3;circled latin capital letter l
Ⓔ;0x24ba;0;3;3;3;circled latin capital letter e
🔦;0x1f526;0;5;0;0;electric torch
👤;0x1f464;0;1;4;4;bust in silhouette
🚁;0x1f681;0;4;1;1;helicopter
🎠;0x1f3a0;0;2;3;3;carousel horse
🐁;0x1f401;2;3;0;-2;mouse
📗;0x1f4d7;1;2;2;1;green book
┐;0x2510;2;2;1;-1;box drawings light down and left
☮;0x262e;2;1;2;0;peace symbol
♂;0x2642;0;4;1;1;male sign
◞;0x25de;1;3;1;0;lower right quadrant circular arc
📯;0x1f4ef;1;4;0;-1;postal horn
🔩;0x1f529;1;2;2;1;nut and bolt
👢;0x1f462;0;1;4;4;womans boots
◂;0x25c2;0;3;2;2;black left-pointing small triangle
📰;0x1f4f0;1;1;3;2;newspaper
📶;0x1f4f6;0;3;2;2;antenna with bars
🚥;0x1f6a5;1;3;1;0;horizontal traffic light
🌄;0x1f304;0;4;1;1;sunrise over mountains
🗾;0x1f5fe;0;3;2;2;silhouette of japan
🔶;0x1f536;0;3;2;2;large orange diamond
🏤;0x1f3e4;0;3;2;2;european post office
🎩;0x1f3a9;0;3;2;2;top hat
Ⓜ;0x24c2;1;1;3;2;circled latin capital letter m
🔧;0x1f527;4;0;1;-3;wrench
🐅;0x1f405;0;4;1;1;tiger
♮;0x266e;0;4;1;1;music natural sign
🅾;0x1f17e;2;2;1;-1;negative squared latin capital letter o
🔄;0x1f504;0;5;0;0;anticlockwise downwards and upwards open circle arrows
☄;0x2604;0;5;0;0;comet
☨;0x2628;0;5;0;0;cross of lorraine
📦;0x1f4e6;0;3;1;1;package
🚊;0x1f68a;1;1;2;1;tram
🔲;0x1f532;0;1;3;3;black square button
🔁;0x1f501;1;2;1;0;clockwise rightwards and leftwards open circle arrows
△;0x25b3;0;3;1;1;white up-pointing triangle
📆;0x1f4c6;0;0;4;4;tear-off calendar
❛;0x275b;0;2;2;2;heavy single turned comma quotation mark ornament
📉;0x1f4c9;0;2;2;2;chart with downwards trend
▵;0x25b5;0;2;2;2;white up-pointing small triangle
🔎;0x1f50e;0;1;3;3;right-pointing magnifying glass
☜;0x261c;0;3;1;1;white left pointing index
🇯;0x1f1ef;0;2;2;2;regional indicator symbol letter j
🇵;0x1f1f5;0;2;2;2;regional indicator symbol letter p
📘;0x1f4d8;1;1;2;1;blue book
✡;0x2721;0;4;0;0;star of david
ⓔ;0x24d4;0;1;3;3;circled latin small letter e
🔑;0x1f511;1;1;2;1;key
🔃;0x1f503;1;2;1;0;clockwise downwards and upwards open circle arrows
👃;0x1f443;2;0;2;0;nose
⭕;0x2b55;0;2;2;2;heavy large circle
🔘;0x1f518;0;3;1;1;radio button
ⓒ;0x24d2;2;0;2;0;circled latin small letter c
🚭;0x1f6ad;0;0;4;4;no smoking symbol
🚉;0x1f689;0;1;3;3;station
🚪;0x1f6aa;0;1;3;3;door
➳;0x27b3;0;2;2;2;white-feathered rightwards arrow
🚃;0x1f683;0;1;3;3;railway car
┯;0x252f;2;2;0;-2;box drawings down light and horizontal heavy
🏬;0x1f3ec;0;4;0;0;department store
☽;0x263d;0;4;0;0;first quarter moon
🆙;0x1f199;0;2;2;2;squared up with exclamation mark
🆖;0x1f196;1;1;2;1;squared ng
☪;0x262a;0;4;0;0;star and crescent
┗;0x2517;0;0;4;4;box drawings heavy up and right
🚮;0x1f6ae;2;0;2;0;put litter in its place symbol
┫;0x252b;0;4;0;0;box drawings heavy vertical and left
Ⓞ;0x24c4;0;2;2;2;circled latin capital letter o
❇;0x2747;0;1;2;2;sparkle
✴;0x2734;0;1;2;2;eight pointed black star
┌;0x250c;1;1;1;0;box drawings light down and right
☊;0x260a;0;0;3;3;ascending node
🔕;0x1f515;2;0;1;-1;bell with cancellation stroke
⬛;0x2b1b;2;0;1;-1;black large square
❝;0x275d;0;3;0;0;heavy double turned comma quotation mark ornament
❞;0x275e;0;3;0;0;heavy double comma quotation mark ornament
🚞;0x1f69e;0;1;2;2;mountain railway
🍶;0x1f376;0;1;2;2;sake bottle and cup
🌐;0x1f310;0;1;2;2;globe with meridians
♀;0x2640;0;2;1;1;female sign
🚅;0x1f685;0;1;2;2;high-speed train with bullet nose
🚒;0x1f692;1;2;0;-1;fire engine
➣;0x27a3;0;3;0;0;three-d bottom-lighted rightwards arrowhead
♋;0x264b;0;2;1;1;cancer
♍;0x264d;0;1;2;2;virgo
🕝;0x1f55d;1;2;0;-1;clock face two-thirty
ⓐ;0x24d0;0;0;3;3;circled latin small letter a
✗;0x2717;1;1;1;0;ballot x
📙;0x1f4d9;1;0;2;1;orange book
Ⓢ;0x24c8;0;2;1;1;circled latin capital letter s
📋;0x1f4cb;0;1;2;2;clipboard
⇢;0x21e2;1;1;1;0;rightwards dashed arrow
🎱;0x1f3b1;1;0;2;1;billiards
🐞;0x1f41e;0;2;1;1;lady beetle
🔺;0x1f53a;0;2;1;1;up-pointing red triangle
ⓡ;0x24e1;0;0;3;3;circled latin small letter r
🎍;0x1f38d;0;3;0;0;pine decoration
♤;0x2664;0;1;2;2;white spade suit
🎲;0x1f3b2;0;3;0;0;game die
🎯;0x1f3af;0;1;2;2;direct hit
〠;0x3020;0;3;0;0;postal mark face
🔉;0x1f509;0;1;2;2;speaker with one sound wave
↩;0x21a9;0;0;3;3;leftwards arrow with hook
🚾;0x1f6be;0;2;1;1;water closet
🎣;0x1f3a3;2;1;0;-2;fishing pole and fish
🔣;0x1f523;0;2;1;1;input symbol for symbols
❎;0x274e;3;0;0;-3;negative squared cross mark
➥;0x27a5;0;2;1;1;heavy black curved downwards and rightwards arrow
🅱;0x1f171;0;3;0;0;negative squared latin capital letter b
🎌;0x1f38c;0;0;3;3;crossed flags
◣;0x25e3;0;2;1;1;black lower left triangle
⏬;0x23ec;0;0;3;3;black down-pointing double triangle
♭;0x266d;0;2;1;1;music flat sign
💠;0x1f4a0;0;3;0;0;diamond shape with a dot inside
ⓞ;0x24de;0;0;2;2;circled latin small letter o
🔳;0x1f533;0;1;1;1;white square button
🏭;0x1f3ed;0;1;1;1;factory
🔰;0x1f530;0;2;0;0;japanese symbol for beginner
🎳;0x1f3b3;1;1;0;-1;bowling
☚;0x261a;0;0;2;2;black left pointing index
➽;0x27bd;0;1;1;1;heavy wedge-tailed rightwards arrow
➫;0x27ab;0;1;1;1;back-tilted shadowed white rightwards arrow
➖;0x2796;2;0;0;-2;heavy minus sign
🏮;0x1f3ee;0;2;0;0;izakaya lantern
📛;0x1f4db;0;2;0;0;name badge
꒰;0xa4b0;0;1;1;1;yi radical shy
꒱;0xa4b1;0;1;1;1;yi radical vep
◝;0x25dd;1;1;0;-1;upper right quadrant circular arc
📑;0x1f4d1;0;0;2;2;bookmark tabs
🎦;0x1f3a6;0;2;0;0;cinema
ⓧ;0x24e7;0;0;2;2;circled latin small letter x
🇨;0x1f1e8;0;2;0;0;regional indicator symbol letter c
🇳;0x1f1f3;0;2;0;0;regional indicator symbol letter n
🔟;0x1f51f;0;0;2;2;keycap ten
〓;0x3013;0;0;2;2;geta mark
ⓜ;0x24dc;0;1;1;1;circled latin small letter m
➠;0x27a0;0;0;2;2;heavy dashed triangle-headed rightwards arrow
🚆;0x1f686;0;1;1;1;train
🚠;0x1f6a0;0;2;0;0;mountain cableway
℅;0x2105;2;0;0;-2;care of
☃;0x2603;0;1;1;1;snowman
🚽;0x1f6bd;0;0;2;2;toilet
📐;0x1f4d0;0;2;0;0;triangular ruler
ⓝ;0x24dd;0;0;2;2;circled latin small letter n
✮;0x272e;0;2;0;0;heavy outlined black star
⇦;0x21e6;0;0;2;2;leftwards white arrow
👲;0x1f472;0;1;1;1;man with gua pi mao
🚡;0x1f6a1;1;1;0;-1;aerial tramway
🎑;0x1f391;0;2;0;0;moon viewing ceremony
🔬;0x1f52c;0;0;2;2;microscope
➗;0x2797;1;1;0;-1;heavy division sign
📈;0x1f4c8;0;1;1;1;chart with upwards trend
⌘;0x2318;0;2;0;0;place of interest sign
⏪;0x23ea;0;1;1;1;black left-pointing double triangle
╹;0x2579;0;2;0;0;box drawings heavy up
◎;0x25ce;0;0;2;2;bullseye
🔼;0x1f53c;0;2;0;0;up-pointing small red triangle
꒦;0xa4a6;2;0;0;-2;yi radical gguo
📎;0x1f4ce;0;0;2;2;paperclip
⑅;0x2445;0;0;2;2;ocr bow tie
⍝;0x235d;0;2;0;0;apl functional symbol up shoe jot
📁;0x1f4c1;0;2;0;0;file folder
✭;0x272d;0;0;2;2;outlined black star
➲;0x27b2;0;2;0;0;circled heavy white rightwards arrow
♓;0x2653;0;1;1;1;pisces
┏;0x250f;0;0;2;2;box drawings heavy down and right
☇;0x2607;0;0;2;2;lightning
♺;0x267a;0;2;0;0;recycling symbol for generic materials
♞;0x265e;0;2;0;0;black chess knight
࿎;0xfce;2;0;0;-2;tibetan sign rdel nag rdel dkar
📠;0x1f4e0;0;2;0;0;fax machine
👘;0x1f458;0;0;2;2;kimono
↙;0x2199;0;0;2;2;south west arrow
Ⓕ;0x24bb;0;1;1;1;circled latin capital letter f
Ⓦ;0x24cc;0;1;1;1;circled latin capital letter w
Ⓟ;0x24c5;0;1;1;1;circled latin capital letter p
🕑;0x1f551;0;1;1;1;clock face two oclock
💽;0x1f4bd;0;1;0;0;minidisc
🕛;0x1f55b;0;0;1;1;clock face twelve oclock
🎫;0x1f3ab;0;1;0;0;ticket
♈;0x2648;1;0;0;-1;aries
📟;0x1f4df;0;1;0;0;pager
℃;0x2103;0;1;0;0;degree celsius
↬;0x21ac;0;0;1;1;rightwards arrow with loop
🕒;0x1f552;0;1;0;0;clock face three oclock
🇰;0x1f1f0;0;1;0;0;regional indicator symbol letter k
↱;0x21b1;0;1;0;0;upwards arrow with tip rightwards
✍;0x270d;0;0;1;1;writing hand
⇐;0x21d0;0;1;0;0;leftwards double arrow
🏦;0x1f3e6;0;0;1;1;bank
🔻;0x1f53b;0;0;1;1;down-pointing red triangle
ⓟ;0x24df;0;0;1;1;circled latin small letter p
ⓕ;0x24d5;0;0;1;1;circled latin small letter f
ⓘ;0x24d8;0;0;1;1;circled latin small letter i
♿;0x267f;0;0;1;1;wheelchair symbol
⇗;0x21d7;0;0;1;1;north east double arrow
⇘;0x21d8;0;0;1;1;south east double arrow
ⓨ;0x24e8;0;0;1;1;circled latin small letter y
ⓙ;0x24d9;0;0;1;1;circled latin small letter j
▫;0x25ab;0;0;1;1;white small square
🔇;0x1f507;0;0;1;1;speaker with cancellation stroke
⌃;0x2303;1;0;0;-1;up arrowhead
🔖;0x1f516;0;0;1;1;bookmark
📜;0x1f4dc;0;0;1;1;scroll
♏;0x264f;0;1;0;0;scorpius
🚝;0x1f69d;0;0;1;1;monorail
☢;0x2622;0;1;0;0;radioactive sign
🎏;0x1f38f;0;1;0;0;carp streamer
┘;0x2518;1;0;0;-1;box drawings light up and left
✝;0x271d;1;0;0;-1;latin cross
❖;0x2756;0;1;0;0;black diamond minus white x
⍣;0x2363;1;0;0;-1;apl functional symbol star diaeresis
📮;0x1f4ee;1;0;0;-1;postbox
🕕;0x1f555;1;0;0;-1;clock face six oclock
🇭;0x1f1ed;0;1;0;0;regional indicator symbol letter h
◜;0x25dc;0;1;0;0;upper left quadrant circular arc
🔯;0x1f52f;0;0;1;1;six pointed star with middle dot
➸;0x27b8;0;0;1;1;heavy black-feathered rightwards arrow
꒵;0xa4b5;0;0;1;1;yi radical jjy
🕥;0x1f565;1;0;0;-1;clock face ten-thirty
♙;0x2659;0;1;0;0;white chess pawn
▿;0x25bf;0;1;0;0;white down-pointing small triangle
⚃;0x2683;0;1;0;0;die face-4
✽;0x273d;0;0;1;1;heavy teardrop-spoked asterisk
📼;0x1f4fc;0;0;1;1;videocassette
🕐;0x1f550;1;0;0;-1;clock face one oclock
🀄;0x1f004;0;0;1;1;mahjong tile red dragon
✾;0x273e;0;1;0;0;six petalled black and white florette
✬;0x272c;0;0;1;1;black centre white star
🆑;0x1f191;0;1;0;0;squared cl
✫;0x272b;0;0;1;1;open centre black star
🕔;0x1f554;1;0;0;-1;clock face five oclock
❣;0x2763;0;0;1;1;heavy heart exclamation mark ornament
➱;0x27b1;0;1;0;0;notched upper right-shadowed white rightwards arrow
🆕;0x1f195;0;1;0;0;squared new
➢;0x27a2;0;1;0;0;three-d top-lighted rightwards arrowhead
↕;0x2195;0;1;0;0;up down arrow
📫;0x1f4eb;0;0;1;1;closed mailbox with raised flag
🉐;0x1f250;0;0;1;1;circled ideograph advantage
♊;0x264a;0;1;0;0;gemini
🈂;0x1f202;1;0;0;-1;squared katakana sa
🎰;0x1f3b0;1;0;0;-1;slot machine
҂;0x482;1;0;0;-1;cyrillic thousands sign
╤;0x2564;1;0;0;-1;box drawings down single and horizontal double
➛;0x279b;0;1;0;0;drafting point rightwards arrow
♝;0x265d;0;1;0;0;black chess bishop
❋;0x274b;0;1;0;0;heavy eight teardrop-spoked propeller asterisk
✆;0x2706;0;1;0;0;telephone location sign
📔;0x1f4d4;0;0;1;1;notebook with decorative cover
